id,name,area,employer,salary_from,salary_to,salary_currency,published_at,experience,employment,schedule,key_skills,specialization,professional_roles
125304964,Методолог бизнес-процессов,Алматы,Ticketon Events,,,,2025-09-15,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
125091878,Ведущий специалист (Департамент корпоративной архитектуры),Алматы,"Евразийский банк, АО",,,,2025-09-09,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
125397512,Методолог,Алматы,Halyk Finservice,,,,2025-09-22,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125134811,Старший консультант модуля SD (K4 /K5),Алматы,Richfit International,,,,2025-09-10,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125311383,Главный специалист Дирекции процессного управления,Алматы,Банк ЦентрКредит,,,,2025-09-15,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125580782,Специалист по разработке и интеграции Bitrix24,Алматы,ASTER Автомобили,,,,2025-09-22,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125384796,Эксперт-аудитор по подтверждению соответствия систем менеджмента,Алматы,Алматинское Бюро по Сертификации,,,,2025-10-07,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
125731772,Senior Manager Supply Chain,Алматы,adidas Kazakhstan,,,,2025-10-06,Более 6 лет,Полная занятость,Полный день,,,Методолог
125829711,Specialist - Planning,Алматы,"Орика-Казахстан, АО",,,,2025-10-08,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125903421,Senior Agile Coach,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),,,,2025-09-29,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125496111,Системный аналитик Дирекции управления клиентскими данными,Алматы,Банк ЦентрКредит,,,,2025-09-18,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125821008,Главный специалист Управления методологии пруденциального регулирования банков,Алматы,РГП Агентство Республики Казахстан по регулированию и развитию финансового рынка,,,,2025-10-08,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
126064073,Методолог,Алматы,Freedom Telecom Operations,,,,2025-10-02,Более 6 лет,Полная занятость,Полный день,,,Методолог
125234906,Главный аудитор в направлении методологии и мониторинга,Алматы,Народный банк Казахстана,,,,2025-09-11,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
126074526,Методолог по бюджетированию,Алматы,FULL STACK SOLUTION,,,,2025-10-02,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
125843004,Главный специалист (методолог) Управление кредитных рисков Департамент рисков,Алматы,Нурбанк,,,,2025-09-26,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
124274290,Методолог (Департамент Customer Care),Алматы,Alatau City Bank,,,,2025-10-07,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
125850851,Методолог на продукт эквайринга,Алматы,Банк ЦентрКредит,,,,2025-09-26,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
121788663,Главный специалист Управление отчетности по пруденциальным нормативам,Алматы,АО «Freedom Bank Kazakhstan»,,,,2025-09-16,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
122690879,"Senior IT Architect (Baku, Azerbaijan)",Алматы,KPMG,,,,2025-09-09,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
123877768,Методолог (Управление поддержки пользователей),Алматы,АО «Freedom Bank Kazakhstan»,,,,2025-09-10,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
126068832,Главный менеджер Отдела общей методологии МСБ Управления поддержки продаж МСБ,Алматы,Нурбанк,,,,2025-10-02,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
123050841,Maintenance Planning and Reporting Specialist,Алматы,"Международный Аэропорт Алматы, АО",,,,2025-09-19,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
124851594,Методолог Департамента риск-менеджмента,Алматы,Публичная Компания «Freedom Finance Global PLC»,,,,2025-09-30,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
124286088,Методолог/Налоговый консультант,Алматы,Unicon Outsourcing,,,,2025-10-01,Более 6 лет,Частичная занятость,Удаленная работа,,,Методолог
126008690,Salesforce Administrator,Алматы,Andersen,,,,2025-10-01,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
126181180,Консультант SAP,Астана,FULL STACK SOLUTION,,,,2025-10-06,Нет опыта,Полная занятость,Полный день,,,Методолог
125606974,Главный эксперт/Ведущий эксперт-Аналитик,Астана,РГП на ПХВ «Центр анализа и информации» Комитета информации Министерства культуры и информации Республики Казахстан,320000,370000,KZT,2025-09-22,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
126206003,Специалист по работе с Bitrix24,Астана,InFitness,300000,300000,KZT,2025-10-06,Более 6 лет,Полная занятость,Полный день,,,Методолог
126195097,Консультант SAP BPC,Астана,СЕРВИСНЫЙ ЦЕНТР ERG,,,,2025-10-06,Более 6 лет,Полная занятость,Полный день,,,Методолог
125601732,Разработчик Bitrix24 (Middle–Senior),Астана,Аверс Бетон,900000,1300000,KZT,2025-10-07,От 1 года до 3 лет,Полная занятость,Гибкий график,,,Методолог
125825964,Специалист по управлению и настройке Битрикса,Астана,Кыдырбеков Д Д,,,,2025-09-26,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
125340968,Бухгалтер-консультант,Астана,1С Казахстан (ИнфоСофтПром),,,,2025-09-15,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
125901707,HR-методолог,Астана,Транстелеком,,,,2025-09-29,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
122690878,"Senior IT Architect (Baku, Azerbaijan)",Астана,KPMG,,,,2025-09-09,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125161042,Методолог,Астана,1С Казахстан (ИнфоСофтПром),,,,2025-09-10,Более 6 лет,Полная занятость,Полный день,,,Методолог
125066842,Junior SAP EHS Consultant,Астана,LeverX,,,,2025-09-08,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
125610215,Архитектор на базе SAP BPC,Астана,iQ-SOLUTIONS,,,,2025-09-22,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125217489,Консультант SAP FI,Атырау,iQ-SOLUTIONS,,,,2025-09-11,От 3 до 6 лет,Полная занятость,Удаленная работа,,,Методолог
125845642,Консультант SAP SD,Атырау,iQ-SOLUTIONS,,,,2025-09-26,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125872058,Администратор БИТРИКС,Караганда,ULS ASIA,,,,2025-09-29,От 3 до 6 лет,Частичная занятость,Гибкий график,,,Методолог
126042937,Методист 1С,Караганда,HR Solutions (ТМ Белый Ветер KZ),,,,2025-10-02,От 1 года до 3 лет,Полная занятость,Полный день,,,Методолог
126041394,Инженер по методологии,Темиртау,Qarmet,,,,2025-10-08,От 3 до 6 лет,Полная занятость,Полный день,,,Методолог
125542122,IT Product Manager,Алматы,ОсОО Юнифан,500,1500,USD,2025-09-19,Нет опыта,Полная занятость,Удаленная работа,,,Менеджер продукта
125927166,Junior Product manager,Алматы,ЧАСТНАЯ КОМПАНИЯ WELLDONE SCHOOL LTD.,250000,600000,KZT,2025-09-30,Нет опыта,Частичная занятость,Удаленная работа,,,Менеджер продукта
125482436,Product manager,Алматы,MyCar Group,,,,2025-09-18,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
126223415,Business project manager/Бизнес-менеджер продукта,Алматы,JetPay.kz,650000,750000,KZT,2025-10-07,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
126181033,Poduct Manager Payments,Алматы,TipTop Pay Kazakhstan,,,,2025-10-06,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
126023106,Менеджер продукта,Алматы,“Anova Pharm”,,,,2025-10-01,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
126191153,Technical Product Owner,Алматы,red_mad_robot,,,,2025-10-06,От 3 до 6 лет,Полная занятость,Удаленная работа,,,Менеджер продукта
126158427,Product Manager (Vpluse app),Алматы,RG Brands Kazakhstan,,,,2025-10-06,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125925834,Product Manager on Oncology,Алматы,Рош Казахстан,,,,2025-09-29,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
126224057,Product специалист,Алматы,КДЛ ОЛИМП (ТОО Мырза-Хан),,,,2025-10-07,От 1 года до 3 лет,Частичная занятость,Полный день,,,Менеджер продукта
125450018,Проектный менеджер,Алматы,oitech,,,,2025-09-17,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125700989,Помощник продавца,Алматы,ЮНИТИ,200000,850000,KZT,2025-10-06,Нет опыта,Полная занятость,Полный день,,,Менеджер продукта
126062399,Senior Product Manager,Алматы,«Aviata» (Freedom Travel),,,,2025-10-05,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125236279,Менеджер по продажам (Магазин мебели),Алматы,Тансықбаева,300000,,KZT,2025-09-11,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
126226774,Product owner (Программа лояльности),Алматы,Банк ЦентрКредит,,,,2025-10-07,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
126301383,Product Owner в Управление развития SmartBank,Алматы,"Евразийский банк, АО",,,,2025-10-08,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125886776,"Product Manager (B2B, healthtech marketplace)",Алматы,Online medics,500000,,KZT,2025-09-29,От 1 года до 3 лет,Полная занятость,Удаленная работа,,,Менеджер продукта
125578198,Product manager в команду SuperApp,Алматы,Halyk Finservice,,,,2025-09-22,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125325075,Senior Product Manager (B2C Marketplace),Алматы,Teez,1500000,1700000,KZT,2025-09-30,От 3 до 6 лет,Полная занятость,Удаленная работа,,,Менеджер продукта
124942032,Project manager IoT,Алматы,"Beeline, ТМ",,,,2025-10-05,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
126061185,Менеджер продукта (Онлайн-кинотеатра),Алматы,Алма Телекоммуникейшнс Казахстан (almaPLUS),350000,350000,KZT,2025-10-02,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125313640,Помощник HR-менеджера / Рекрутер,Алматы,MIA Kazakhstan,100000,150000,KZT,2025-10-06,От 1 года до 3 лет,Частичная занятость,Полный день,,,Менеджер продукта
126153266,Менеджер отдела развития,Алматы,BI Group,,,,2025-10-06,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125663399,Product Manager,Алматы,Magnum E-commerce Kazakhstan,,,,2025-09-23,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
126244637,Senior Product Manager Subscription,Алматы,TBC,,,,2025-10-07,Более 6 лет,Полная занятость,Полный день,,,Менеджер продукта
126244400,"Менеджер по продукту (Product Manager лекарственные препараты, БАДы)",Алматы,ЮНИФАРМ КАЗАХСТАН,,,,2025-10-07,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
126228100,Product Owner (посткредитное обслуживание),Алматы,KMF Банк,,,,2025-10-07,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125609057,Product Marketolog - HealthTech Startup,Алматы,FETUSPLUS,,,,2025-09-22,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125173812,Менеджер по развитию бизнеса (BDM),Алматы,"Abris Distribution Kazakhstan, Филиал Компании в Казахстане",,,,2025-09-30,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125993684,Senior Product Manager,Алматы,Коркем Телеком,,,,2025-10-01,Более 6 лет,Полная занятость,Полный день,,,Менеджер продукта
126292691,Продакт менеджер подразделения Aesculap (хирургические инструменты),Алматы,Б.Браун Медикал Казахстан,,,,2025-10-08,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125646598,Onboarding manager,Алматы,Tarlan Payments (Тарлан Пэйментс),250000,,KZT,2025-10-08,От 1 года до 3 лет,Полная занятость,Удаленная работа,,,Менеджер продукта
125185778,Менеджер продукта,Алматы,Сегмент Энерго Казахстан,260000,600000,KZT,2025-10-08,Нет опыта,Полная занятость,Полный день,,,Менеджер продукта
125268342,Бренд-менеджер (помощник директора),Алматы,KEMEL DISTRIBUTION,500000,700000,KZT,2025-10-06,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125460135,Менеджер ИИ проектов,Алматы,"Beeline, ТМ",,,,2025-09-18,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125492262,Product Manager (маркетплейс спецтехники в лизинг),Алматы,Халык-Лизинг,,,,2025-09-18,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125597398,Менеджер по партнёрствам и медицинским направлениям (Partnaerships & Medical Affairs Manager),Алматы,Inkar,600000,,KZT,2025-09-22,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
126027400,Менеджер по продукту (оффлайн продукты РКО),Алматы,Нурбанк,,,,2025-10-01,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125333013,Дизайн-менеджер продукта (сувенирная продукция),Алматы,KEMEL DISTRIBUTION,500000,700000,KZT,2025-09-15,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125998181,Продуктолог/Product Manager,Алматы,LiON Restaurants (ЛиОН Рестораны),,,,2025-10-07,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125705474,Product менеджер направления молекулярной диагностики,Алматы,Micro Solutions,,,,2025-09-24,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125370345,Продакт (product) - менеджер (специалист по тех спецификациям),Алматы,PHARMIX,,,,2025-09-16,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125311153,Операционист в Dunkin’,Алматы,KAZPETROL GROUP,,,,2025-09-15,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125094342,Product Owner,Алматы,Bayer,,,,2025-09-29,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
124053788,Product Owner (Business API),Алматы,Alatau City Bank,,,,2025-09-10,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
124513073,Директор по развитию (CBDO) в команде стартапа по нишевым продуктам питания (по направлениям),Алматы,"Astana Mall Trading,ТОО",,,,2025-09-22,От 1 года до 3 лет,Полная занятость,Удаленная работа,,,Менеджер продукта
125342410,Менеджер Управления корпоративных продуктов,Алматы,Altyn Bank,,,,2025-09-15,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
126045371,Продакт-менеджер по направлению Урогинекология (медицинское оборудование),Алматы,BTL Kazakhstan,,,,2025-10-08,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
126039851,Менеджер продукта (Криптофиатные продукты),Алматы,Нурбанк,,,,2025-10-02,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125874395,Менеджер по продукту,Алматы,Представительство АО Дельта Медикел Промоушнз АГ(Швейцария),,,,2025-10-08,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125966694,Менеджер продукта,Алматы,Inkar,500000,700000,KZT,2025-09-30,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125582403,Менеджер в отдел сопровождения розничных продуктов,Алматы,Alatau City Bank,,,,2025-09-22,Нет опыта,Полная занятость,Полный день,,,Менеджер продукта
125930780,"Менеджер по закупкам (ткани, фурнитура)/производство одежды",Алматы,INSHA OFFICIAL,,,,2025-09-30,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125578110,Проектный менеджер Департамент разработки банковских процессов,Алматы,АО «Freedom Bank Kazakhstan»,,,,2025-09-22,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125639006,Project-/Product-Manager (цифровые проекты),Алматы,Digital-агентство Newmediastar,1000,1500,USD,2025-10-08,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125377932,Продакт-менеджер,Алматы,DALEX DEVELOPMENT,500000,800000,KZT,2025-10-07,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
126000365,Старший менеджер Управления методологии и разработки продуктов,Алматы,Bank RBK,,,,2025-10-01,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
121921412,Проектный менеджер / Менеджер продукта (дебетовые карты),Алматы,АО «Freedom Bank Kazakhstan»,,,,2025-09-21,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125165066,Product owner/manager по платежам в мобильном приложении,Алматы,Home Credit Bank,,,,2025-09-10,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
124529409,Product owner (Мобильное приложение),Алматы,Банк ЦентрКредит,,,,2025-09-19,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125476325,Менеджер продукта Управления по стратегическим партнёрствам,Алматы,Home Credit Bank,,,,2025-09-18,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125154556,Senior sales manager/BDM IT-B2B,Алматы,CHOIСE BENEFITS,500000,900000,KZT,2025-09-10,От 3 до 6 лет,Частичная занятость,Удаленная работа,,,Менеджер продукта
125585918,Lead Product Manager,Алматы,Bilim Land (Bilim Group),,,,2025-09-22,Более 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125153389,Senior Product Manager/Старший Продакт-менеджер,Алматы,CHOIСE BENEFITS,500000,,KZT,2025-09-10,Более 6 лет,Частичная занятость,Удаленная работа,,,Менеджер продукта
123421709,Продакт-менеджер (специалист отдела закупок),Алматы,ШАТЕ-М ПЛЮС,,,,2025-10-01,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125687663,Менеджер по продажам it-продукта Clockster (HRTech),Алматы,Клокстер,350000,,KZT,2025-10-06,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
126095103,Ведущий специалист по продуктам,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),,,,2025-10-03,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
123563232,Менеджер по продуктам,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),,,,2025-10-02,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125236417,Продакт-менеджер,Алматы,Договор24,700000,1000000,KZT,2025-10-05,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125384255,Agile Product Manager,Алматы,JTI Kazakhstan,,,,2025-09-16,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125754261,Product manager / Менеджер продукта,Алматы,АНКОР Центральная Азия,,,,2025-09-25,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125902651,Менеджер по продуктам,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),,,,2025-09-29,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125226539,"Product Owner по направлению ""Бизнес карты""",Алматы,Народный банк Казахстана,,,,2025-09-11,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125470352,Senior Product Owner (SuperApp),Алматы,BTS Digital,,,,2025-09-18,Более 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125764905,Technical Delivery Manager,Алматы,Неткрэкер Текнолоджи Казахстан,,,,2025-09-25,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125891862,Проектный менеджер Управления разработки кредитных продуктов,Алматы,АО «Freedom Bank Kazakhstan»,,,,2025-09-29,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
119434499,Проектный менеджер в Отдел по развитию и поддержке партнерской сети ДКБ(СА),Алматы,АО «Freedom Bank Kazakhstan»,,,,2025-09-08,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125391787,Менеджер по продукту / Руководитель развития моно-карточного продукта,Алматы,ГЕТ ЭКСПЕРТС РЕКРУТМЕНТ,,,,2025-09-16,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125255331,Старший менеджер продуктов по кибербезопасности,Алматы,"Beeline, ТМ",,,,2025-09-12,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125257117,Начальник Управления digital продаж и сервисов,Алматы,"Страховая компания Халык, ДО Народного Банка Казахстана",,,,2025-09-12,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
126154081,Старший специалист направления Кузовного Ремонта,Алматы,Smart Solutions Personnel,,,,2025-10-06,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125530045,Product Manager Loyalty (Engagement),Алматы,TBC,,,,2025-09-19,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125504734,Product Manager,Алматы,Genesis Group AG,,,,2025-10-07,От 3 до 6 лет,Полная занятость,Удаленная работа,,,Менеджер продукта
125226552,Product Owner ВЭД,Алматы,Народный банк Казахстана,,,,2025-09-11,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125851821,Product Manager / продакт-менеджер Rx,Алматы,Rogers Pharma,500000,600000,KZT,2025-10-01,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125823889,Senior Product Manager (Premium products),Алматы,TBC,,,,2025-09-26,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125700765,Главный менеджер по продуктам и проектам IoT (B2B/B2G),Алматы,Казахтелеком,,,,2025-09-24,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125447302,Product Owner (VAS),Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),,,,2025-10-06,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125963928,Менеджер продукта,Алматы,КОМПАНИЯ Э-КОМ ПРАЙМ,,,,2025-09-30,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125070060,Product manager Open API,Алматы,Банк ЦентрКредит,,,,2025-09-08,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125468280,Менеджер продукта,Алматы,Транспортный холдинг города Алматы,,,,2025-10-06,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125518621,Senior Product Manager (IT),Алматы,Amway Central Asia,,,,2025-09-19,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125185671,Product manager,Алматы,АНТАЛ БИЗНЕС РЕШЕНИЯ (ТМ Antal Kazakhstan),,,,2025-09-11,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125092879,Скрам-мастер,Алматы,Банк ЦентрКредит,,,,2025-09-09,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
123131944,Менеджер по продажам цифровых продуктов крупного бизнеса,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),,,,2025-09-15,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125255576,Vertical Solution Sales Engineer,Алматы,Хуавей Текнолоджиз Казахстан,,,,2025-09-12,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125459597,Менеджер по No Code разработке (голосовых/текстовых роботов),Алматы,Частная компания “Automated Communication Solutions Ltd.”,150000,320000,KZT,2025-10-06,Нет опыта,Полная занятость,Полный день,,,Менеджер продукта
125654335,Старший Менеджер по продуктам,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),,,,2025-09-23,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125228514,Senior Product Manager (Personalization),Алматы,Ticketon Events,,,,2025-10-05,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125530109,Product Manager (Insurance),Алматы,TBC,,,,2025-09-19,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
125306537,Менеджер по цифровым решениям,Алматы,Eurasia Group Kazakhstan,,,,2025-09-15,От 1 года до 3 лет,Полная занятость,Полный день,,,Менеджер продукта
125491406,Директор по продуктам (CPO)/ Chief Product Officer,Алматы,Республиканская школа лидерства Жаңа Ұрпақ,,,,2025-10-06,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
124365878,Менеджер по развитию и продвижению MNP,Алматы,Мобайл Телеком-Сервис (Объединенная Компания Tele2/Altel),,,,2025-09-19,От 3 до 6 лет,Полная занятость,Полный день,,,Менеджер продукта
124647666,Head of Product / CPO (iGaming),Алматы,Частная компания “Automated Communication Solutions Ltd.”,,,,2025-10-08,От 3 до 6 лет,Полная занятость,Удаленная работа,,,Менеджер продукта
